illness_name,complication,sickness
泌尿生殖系放线菌病,Treatment_of_department,脑脓肿
夸赛纳森林病,Treatment_of_department,脑膜炎
科罗拉多蜱热,Treatment_of_department,脑炎
乙胺嘧啶中毒,Treatment_of_department,眩晕
小儿利斯特菌病,Treatment_of_department,脑膜炎
阴茎癌,Treatment_of_department,尿道狭窄
生殖器念珠菌病,Treatment_of_department,外阴炎
生殖器念珠菌病,Treatment_of_department,复发性外阴阴道念珠菌病
蝎螫伤,Treatment_of_department,肺水肿
五氯酚钠中毒,Treatment_of_department,脱水
五氯酚钠中毒,Treatment_of_department,肺水肿
五氯酚钠中毒,Treatment_of_department,咳嗽晕厥综合征
毛圆线虫病,Treatment_of_department,骨质疏松
毛圆线虫病,Treatment_of_department,骨折
非01霍乱弧菌肠炎,Treatment_of_department,拉肚子
小儿脾外伤,Treatment_of_department,休克
利斯特菌脑膜炎,Treatment_of_department,脑脓肿
利斯特菌脑膜炎,Treatment_of_department,心内膜炎
利斯特菌脑膜炎,Treatment_of_department,流产
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,弥漫性血管内凝血
性欲亢进,Treatment_of_department,前列腺炎
无机磷中毒,Treatment_of_department,血尿
葡萄球菌中毒性休克综合征,Treatment_of_department,休克
葡萄球菌中毒性休克综合征,Treatment_of_department,弥散性血管内凝血
原发性阿米巴脑膜脑炎,Treatment_of_department,鼻窦炎
原发性阿米巴脑膜脑炎,Treatment_of_department,慢性额窦炎
子宫内膜异位症,Treatment_of_department,痛经
子宫内膜异位症,Treatment_of_department,性交疼痛
子宫内膜异位症,Treatment_of_department,月经量多
不孕症,Treatment_of_department,子宫肌瘤
不孕症,Treatment_of_department,阴道横隔
不孕症,Treatment_of_department,急性子宫内膜炎
小儿霉甘蔗中毒,Treatment_of_department,小儿惊厥
宫外孕,Treatment_of_department,休克
宫外孕,Treatment_of_department,盆腔炎
宫外孕,Treatment_of_department,宫外孕
乙酰苯胺类中毒,Treatment_of_department,休克
细菌性阴道炎,Treatment_of_department,滴虫性阴道炎
细菌性阴道炎,Treatment_of_department,盆腔炎
细菌性阴道炎,Treatment_of_department,早产
包皮龟头炎,Treatment_of_department,尿道癌
包皮龟头炎,Treatment_of_department,人流后妇科病
包皮龟头炎,Treatment_of_department,女性尿道癌
艾滋病,Treatment_of_department,毛状白斑
艾滋病,Treatment_of_department,鹅口疮
艾滋病,Treatment_of_department,细菌性肺炎
羰基镍中毒,Treatment_of_department,基底动脉型偏头痛
羰基镍中毒,Treatment_of_department,尿毒症昏迷
外伤性胆管损伤,Treatment_of_department,胆管炎
