illness_name,examination,examination_name
性兴奋障碍,Treatment_of_department,血压测量
性兴奋障碍,Treatment_of_department,阴茎血流指数
性兴奋障碍,Treatment_of_department,阴茎夜间勃起试验
附睾结核,Treatment_of_department,精液和前列腺液检查
附睾结核,Treatment_of_department,尿道分泌物检查
附睾结核,Treatment_of_department,前列腺液培养
泌尿生殖系放线菌病,Treatment_of_department,尿常规
泌尿生殖系放线菌病,Treatment_of_department,尿沉渣
泌尿生殖系放线菌病,Treatment_of_department,膀胱镜
夸赛纳森林病,Treatment_of_department,尿常规
夸赛纳森林病,Treatment_of_department,中和试验
科罗拉多蜱热,Treatment_of_department,胸透
肺芽生菌病,Treatment_of_department,胸腔积液显微镜检查
肺芽生菌病,Treatment_of_department,痰液显微镜检查
肺芽生菌病,Treatment_of_department,补体结合试验
乙胺嘧啶中毒,Treatment_of_department,尿常规
乙胺嘧啶中毒,Treatment_of_department,肾功能
乙胺嘧啶中毒,Treatment_of_department,肝功能
西伯利亚立克次体斑疹热,Treatment_of_department,胸透
西伯利亚立克次体斑疹热,Treatment_of_department,补体结合试验
加利福尼亚脑炎,Treatment_of_department,淋巴细胞脉络丛脑膜炎补体结合试验
加利福尼亚脑炎,Treatment_of_department,脑脊液钙
加利福尼亚脑炎,Treatment_of_department,血清阳离子
小儿利斯特菌病,Treatment_of_department,脑脊液细菌培养
小儿利斯特菌病,Treatment_of_department,脑脊液的显微镜检查
弗郎西丝菌肺炎,Treatment_of_department,凝集实验
弗郎西丝菌肺炎,Treatment_of_department,痰液的一般性状
弗郎西丝菌肺炎,Treatment_of_department,痰液细菌培养
阴茎癌,Treatment_of_department,SW阴茎超声血流检测
阴茎癌,Treatment_of_department,阴茎血流指数
阴茎癌,Treatment_of_department,阴茎动脉血压
生殖器念珠菌病,Treatment_of_department,吞噬白色念珠菌功能试验
卵巢早衰,Treatment_of_department,雌激素撤血试验
卵巢早衰,Treatment_of_department,雌二醇
卵巢早衰,Treatment_of_department,血清抗肾上腺皮质抗体
蝎螫伤,Treatment_of_department,血压测量
蝎螫伤,Treatment_of_department,血涂片
蝎螫伤,Treatment_of_department,血液生化六项
五氯酚钠中毒,Treatment_of_department,尿常规
五氯酚钠中毒,Treatment_of_department,血氧含量
五氯酚钠中毒,Treatment_of_department,血氧饱和度
毛圆线虫病,Treatment_of_department,嗜酸性粒细胞数
毛圆线虫病,Treatment_of_department,血清碱性磷酸酶
毛圆线虫病,Treatment_of_department,十二指肠引流液一般性状
小儿亚硝酸盐中毒,Treatment_of_department,便常规
小儿亚硝酸盐中毒,Treatment_of_department,血红蛋白
小儿亚硝酸盐中毒,Treatment_of_department,血液生化六项
非01霍乱弧菌肠炎,Treatment_of_department,尿常规
非01霍乱弧菌肠炎,Treatment_of_department,便常规
非01霍乱弧菌肠炎,Treatment_of_department,血液电解质
小儿脾外伤,Treatment_of_department,血红蛋白
小儿脾外伤,Treatment_of_department,腹部透视
小儿脾外伤,Treatment_of_department,腹部CT
利斯特菌脑膜炎,Treatment_of_department,脑脊液检查-化学检查-蛋白质检查
利斯特菌脑膜炎,Treatment_of_department,涂片
利斯特菌脑膜炎,Treatment_of_department,脑膜刺激征
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,脑膜刺激征
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,血小板计数
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,3p试验
性欲亢进,Treatment_of_department,颅脑CT
性欲亢进,Treatment_of_department,性激素六项
无机磷中毒,Treatment_of_department,尿常规
无机磷中毒,Treatment_of_department,血液生化六项
无机磷中毒,Treatment_of_department,尿磷
葡萄球菌中毒性休克综合征,Treatment_of_department,血清阳离子
葡萄球菌中毒性休克综合征,Treatment_of_department,浆膜腔积液一般性状
原发性阿米巴脑膜脑炎,Treatment_of_department,脑脊液细菌培养
原发性阿米巴脑膜脑炎,Treatment_of_department,脑脊液钙
原发性阿米巴脑膜脑炎,Treatment_of_department,直接涂片检查
男性不育,Treatment_of_department,不孕不育的免疫学检查
男性不育,Treatment_of_department,精囊检查
男性不育,Treatment_of_department,不孕不育检查
子宫内膜异位症,Treatment_of_department,解脲脲原体
子宫内膜异位症,Treatment_of_department,直肠镜
子宫内膜异位症,Treatment_of_department,生育镜
不孕症,Treatment_of_department,自身免疫抗体检测
不孕症,Treatment_of_department,不孕不育的免疫学检查
不孕症,Treatment_of_department,不孕不育检查
性冷淡,Treatment_of_department,性激素六项
小儿霉甘蔗中毒,Treatment_of_department,肝功能
小儿霉甘蔗中毒,Treatment_of_department,血液检查
小儿霉甘蔗中毒,Treatment_of_department,颅脑CT
宫外孕,Treatment_of_department,盆腔充气造影
宫外孕,Treatment_of_department,盆腔和阴道B超
宫外孕,Treatment_of_department,盆腔CT
生殖器疱疹,Treatment_of_department,单纯疱疹病毒
乙酰苯胺类中毒,Treatment_of_department,肾功能
乙酰苯胺类中毒,Treatment_of_department,肝功能
乙酰苯胺类中毒,Treatment_of_department,血红蛋白
细菌性阴道炎,Treatment_of_department,白带pH值
细菌性阴道炎,Treatment_of_department,胺试验
细菌性阴道炎,Treatment_of_department,白带检查
包皮龟头炎,Treatment_of_department,包皮包茎检查
包皮龟头炎,Treatment_of_department,阴茎检查
包皮龟头炎,Treatment_of_department,血清卵泡刺激素
艾滋病,Treatment_of_department,血清可溶性白介素-2受体
艾滋病,Treatment_of_department,血清抗艾滋病抗体
艾滋病,Treatment_of_department,脑脊液β2微球蛋白
羰基镍中毒,Treatment_of_department,尿常规
羰基镍中毒,Treatment_of_department,肾功能
羰基镍中毒,Treatment_of_department,肝功能
小儿阿托品类中毒,Treatment_of_department,脑膜刺激征
小儿阿托品类中毒,Treatment_of_department,颅脑CT
小儿阿托品类中毒,Treatment_of_department,脑电图
早泄,Treatment_of_department,精液和前列腺液检查
早泄,Treatment_of_department,阴茎检查
早泄,Treatment_of_department,前列腺检查
阴茎前阴囊,Treatment_of_department,外生殖器检查
阴茎前阴囊,Treatment_of_department,阴囊检查
阴茎前阴囊,Treatment_of_department,阴茎超声检查
外伤性胆管损伤,Treatment_of_department,T管造影
外伤性胆管损伤,Treatment_of_department,静脉胆道造影
外伤性胆管损伤,Treatment_of_department,口服法胆道造影
阳痿,Treatment_of_department,泌乳素分泌抑制试验
阳痿,Treatment_of_department,泌乳素兴奋试验
阳痿,Treatment_of_department,外生殖器检查
粗制棉子油中毒,Treatment_of_department,尿常规
粗制棉子油中毒,Treatment_of_department,血清钾
粗制棉子油中毒,Treatment_of_department,血清钠
枢椎齿突骨折,Treatment_of_department,脊柱压痛与叩击痛
枢椎齿突骨折,Treatment_of_department,脊柱触诊
枢椎齿突骨折,Treatment_of_department,脊椎平片
氯喹中毒,Treatment_of_department,尿常规
氯喹中毒,Treatment_of_department,便常规
氯喹中毒,Treatment_of_department,视力
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,关节镜
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,关节检查
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,骨关节及软组织CT
