name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
性兴奋障碍,否,无传染性,病因治疗心理治疗药物治疗,56%,1-3月,男女,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
附睾结核,否,无传染性,Null,Null,Null,青壮年,Null,健客大药房康德乐大药房阿康大药房
甲型副伤寒,否,有传染性,Null,Null,Null,儿童，青少年,Null,健客大药房康德乐大药房阿康大药房
布-加综合征,否,无传染性,Null,Null,Null,Null,Null,健客大药房康德乐大药房阿康大药房
泌尿生殖系放线菌病,否,有传染性,药物治疗,40%,1个月,有与牛、马或牧草接触史以及...,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
夸赛纳森林病,否,有传染性,中医药物治疗、西医药物治疗,80%,1-3月,所有人群,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
科罗拉多蜱热,否,有传染性,药物治疗,70%,10天,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
肺芽生菌病,是,无传染性,药物治疗,40-60%,3-6个月,所有人群,市三甲医院约（10000——20000元）,健客大药房康德乐大药房阿康大药房
乙胺嘧啶中毒,否,无传染性,中医药物治疗、西医药物治疗,70-80%,8-12周,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
西伯利亚立克次体斑疹热,否,有传染性,多西环素、药物治疗,85%,2-4月,所有人群,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
自身免疫性肝病,否,无传染性,药物治疗,65%，多以控制症状为主,Null,临床表现以女性多见，主要见...,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
前列腺钙灶化灶,否,无传染性,Null,Null,Null,中老年,Null,健客大药房康德乐大药房阿康大药房
加利福尼亚脑炎,否,有传染性,支持治疗、对症治疗,60%,3-6月,所有人群,市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
小儿利斯特菌病,否,有传染性,消炎治疗,40%,1-3个月,新生儿或胎儿,不同医院收费标准不一致，市三甲医院约(20000---30000元),健客大药房康德乐大药房阿康大药房
弗郎西丝菌肺炎,否,有传染性,药物治疗,40%,3个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
阴茎癌,是,无传染性,手术治疗,65%(外科手术治疗),1-2年,老年男性、包皮垢普、包茎、...,不同医院收费标准不一致，市三甲医院约（30000——50000元,健客大药房康德乐大药房阿康大药房
左精索静脉曲张,否,无传染性,Null,Null,Null,青壮年男性,Null,健客大药房康德乐大药房阿康大药房
生殖器念珠菌病,否,有传染性,中药、西药,70%,8周,女性多见,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
卵巢早衰,是,无传染性,药物治疗,60%,3-6个月,40岁之前女性,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
蝎螫伤,否,无传染性,药物治疗、对症支持治疗,90%,1-7天,所有人群,市三甲医院约（100——1000元）,健客大药房康德乐大药房阿康大药房
五氯酚钠中毒,否,无传染性,药物治疗,40%,1-3个月,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
毛圆线虫病,是,有传染性,药物治疗,40%,1-2个月,所有人群,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
小儿亚硝酸盐中毒,否,无传染性,药物治疗,70%,2-4周,婴幼儿,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
非01霍乱弧菌肠炎,否,有传染性,药物治疗,30%,3-7天,所有人群,市三甲医院约2000-4000元,健客大药房康德乐大药房阿康大药房
小儿脾外伤,否,无传染性,手术治疗,98%,30天,儿童,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
利斯特菌脑膜炎,否,有传染性,药物治疗,40%,2-4个月,多见于婴幼儿、老年人及免疫...,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
小儿脑膜炎球菌性肾上腺综合征,否,有传染性,药物治疗对症治疗,10%,1-3个月,儿童,市三甲医院约(2000---3000元),健客大药房康德乐大药房阿康大药房
性欲亢进,否,无传染性,心理治疗、药物治疗,70-80%,1-2个月,中年，青年较多发,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
无机磷中毒,否,无传染性,药物治疗,60-70%,1-2个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
葡萄球菌中毒性休克综合征,否,无传染性,药物治疗,85%,4-6周,所有人群,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
原发性阿米巴脑膜脑炎,否,有传染性,药物治疗,30%,10-30天,所有人群,市三甲医院约10000--40000,健客大药房康德乐大药房阿康大药房
男性不育,否,无传染性,药物治疗、手术治疗,80%,1-3年,育龄男性,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
子宫内膜异位症,是,无传染性,手术治疗、药物治疗,70%,1-2个月,30～40岁女性,市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
不孕症,是,无传染性,对症治疗、中医中药治疗、试...,一般经过特殊治疗后，95%能够治愈,2-3月,成年人群，孕龄女性,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
性冷淡,否,无传染性,心理治疗药物治疗,85%,2-4周,成年人、女性多见,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
小儿霉甘蔗中毒,否,无传染性,药物治疗,80%,20天,儿童人群,市三甲医院约1000--3000,健客大药房康德乐大药房阿康大药房
宫外孕,是,无传染性,药物治疗、手术治疗,82%,10-30天,孕龄女性,市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
生殖器疱疹,是,有传染性,药物治疗,70%,10-30天,所有人群，成年人为主,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
乙酰苯胺类中毒,否,无传染性,应急治疗、对症治疗、药物治...,80%,1-3月,所有人群,不同医院收费标准不一致，市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
细菌性阴道炎,是,无传染性,药物治疗,90%,7-14天,女性，成年女性,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
包皮龟头炎,是,无传染性,药物治疗,90%,7-14天,成年男性，多半是中年男,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
艾滋病,否,有传染性,中医药物治疗、西医药物治疗,0.001%(只能维持治疗，现在治愈率极低。),3个月(常需终身治疗),所有人群,市三甲医院约（50000——100000元）,健客大药房康德乐大药房阿康大药房
羰基镍中毒,否,无传染性,药物治疗,20%,2--10周,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
小儿阿托品类中毒,否,无传染性,洗胃、吐法,90%,2-4周,儿童,市三甲医院约（3000——10000元）,健客大药房康德乐大药房阿康大药房
早泄,是,无传染性,药物治疗、心理治疗,>30%,>120天,青年，中年男性，婚前过度手...,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
阴茎前阴囊,否,无传染性,手术治疗,80%(外科手术治疗),1-3个月,男性,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
外伤性胆管损伤,否,无传染性,手术治疗、药物治疗,80%左右,3-8周,外伤患者,市三甲医院约40000--100000,健客大药房康德乐大药房阿康大药房
阳痿,否,无传染性,药物治疗、心理治疗,85%(一般经过有效治疗后可以缓解症状),1-2个月,成年男性,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
粗制棉子油中毒,否,无传染性,药物治疗、手术治疗,80%,2-5周,所有人群,不同医院收费标准不一致，市三甲医院约2000-4000元,健客大药房康德乐大药房阿康大药房
枢椎齿突骨折,否,无传染性,非手术治疗、手术治疗、对症...,85%,3-6月,所有人群,市三甲医院约（10000-50000元）,健客大药房康德乐大药房阿康大药房
氯喹中毒,是,无传染性,药物治疗,75%,2-3个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
小儿播散性脂肪肉芽肿综合征,否,无传染性,Null,Null,Null,婴儿,Null,健客大药房康德乐大药房阿康大药房
