illness_name,pathogenic_site,parts_name
性兴奋障碍,Treatment_of_department,女性生殖
性兴奋障碍,Treatment_of_department,男性生殖
性兴奋障碍,Treatment_of_department,其他
附睾结核,Treatment_of_department,睾丸
甲型副伤寒,Treatment_of_department,肠
布-加综合征,Treatment_of_department,肝
泌尿生殖系放线菌病,Treatment_of_department,尿道
泌尿生殖系放线菌病,Treatment_of_department,男性生殖
泌尿生殖系放线菌病,Treatment_of_department,女性生殖
夸赛纳森林病,Treatment_of_department,血液血管
科罗拉多蜱热,Treatment_of_department,全身
科罗拉多蜱热,Treatment_of_department,血液血管
肺芽生菌病,Treatment_of_department,肺
乙胺嘧啶中毒,Treatment_of_department,全身
西伯利亚立克次体斑疹热,Treatment_of_department,头部
西伯利亚立克次体斑疹热,Treatment_of_department,肌肉
西伯利亚立克次体斑疹热,Treatment_of_department,全身
自身免疫性肝病,Treatment_of_department,肝
前列腺钙灶化灶,Treatment_of_department,前列腺
加利福尼亚脑炎,Treatment_of_department,颅脑
小儿利斯特菌病,Treatment_of_department,肺
小儿利斯特菌病,Treatment_of_department,血液血管
小儿利斯特菌病,Treatment_of_department,颅脑
弗郎西丝菌肺炎,Treatment_of_department,肺
阴茎癌,Treatment_of_department,阴茎
左精索静脉曲张,Treatment_of_department,睾丸
左精索静脉曲张,Treatment_of_department,男性生殖
生殖器念珠菌病,Treatment_of_department,女性生殖
生殖器念珠菌病,Treatment_of_department,男性生殖
卵巢早衰,Treatment_of_department,卵巢
蝎螫伤,Treatment_of_department,全身
五氯酚钠中毒,Treatment_of_department,全身
毛圆线虫病,Treatment_of_department,胃
毛圆线虫病,Treatment_of_department,肠
小儿亚硝酸盐中毒,Treatment_of_department,全身
小儿亚硝酸盐中毒,Treatment_of_department,腹部
非01霍乱弧菌肠炎,Treatment_of_department,胃
非01霍乱弧菌肠炎,Treatment_of_department,肠
非01霍乱弧菌肠炎,Treatment_of_department,全身
小儿脾外伤,Treatment_of_department,脾
利斯特菌脑膜炎,Treatment_of_department,颅脑
利斯特菌脑膜炎,Treatment_of_department,全身
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,颅脑
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,全身
性欲亢进,Treatment_of_department,全身
无机磷中毒,Treatment_of_department,全身
葡萄球菌中毒性休克综合征,Treatment_of_department,全身
葡萄球菌中毒性休克综合征,Treatment_of_department,皮肤
葡萄球菌中毒性休克综合征,Treatment_of_department,血液血管
原发性阿米巴脑膜脑炎,Treatment_of_department,颅脑
男性不育,Treatment_of_department,男性生殖
子宫内膜异位症,Treatment_of_department,子宫
不孕症,Treatment_of_department,女性生殖
性冷淡,Treatment_of_department,女性生殖
性冷淡,Treatment_of_department,男性生殖
性冷淡,Treatment_of_department,其他
小儿霉甘蔗中毒,Treatment_of_department,全身
宫外孕,Treatment_of_department,输卵管
宫外孕,Treatment_of_department,卵巢
生殖器疱疹,Treatment_of_department,女性生殖
生殖器疱疹,Treatment_of_department,男性生殖
乙酰苯胺类中毒,Treatment_of_department,全身
细菌性阴道炎,Treatment_of_department,阴道
包皮龟头炎,Treatment_of_department,阴茎
艾滋病,Treatment_of_department,全身
羰基镍中毒,Treatment_of_department,全身
小儿阿托品类中毒,Treatment_of_department,全身
早泄,Treatment_of_department,男性生殖
阴茎前阴囊,Treatment_of_department,阴茎
阴茎前阴囊,Treatment_of_department,睾丸
外伤性胆管损伤,Treatment_of_department,胆
阳痿,Treatment_of_department,阴茎
粗制棉子油中毒,Treatment_of_department,腹部
粗制棉子油中毒,Treatment_of_department,全身
枢椎齿突骨折,Treatment_of_department,颈部
枢椎齿突骨折,Treatment_of_department,脊柱
枢椎齿突骨折,Treatment_of_department,关节
氯喹中毒,Treatment_of_department,全身
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,皮肤
小儿播散性脂肪肉芽肿综合征,Treatment_of_department,肌肉
铜绿色假单胞菌脑膜炎,Treatment_of_department,颅脑
猛兽伤,Treatment_of_department,全身
小儿出血性休克和脑病综合征,Treatment_of_department,血液血管
小儿出血性休克和脑病综合征,Treatment_of_department,颅脑
小儿触电与雷击,Treatment_of_department,全身
砷化氢引起的溶血性贫血,Treatment_of_department,血液血管
胎肥,Treatment_of_department,全身
婴儿肉毒中毒综合征,Treatment_of_department,颅脑
杜波组织胞浆菌病,Treatment_of_department,皮肤
杜波组织胞浆菌病,Treatment_of_department,骨
小儿水杨酸盐类中毒,Treatment_of_department,全身
小儿片吸虫病,Treatment_of_department,肝
克里米亚-刚果出血热,Treatment_of_department,全身
溶组织内阿米巴病,Treatment_of_department,肠
溶组织内阿米巴病,Treatment_of_department,全身
湄公血吸虫病,Treatment_of_department,肝
湄公血吸虫病,Treatment_of_department,肠
致肠细胞病变人孤儿病毒感染,Treatment_of_department,肠
委内瑞拉马脑炎,Treatment_of_department,颅脑
棘阿米巴性巩膜炎,Treatment_of_department,眼
棉子中毒,Treatment_of_department,全身
腹腔肺吸虫病,Treatment_of_department,腹部
立氏立克次体斑疹热,Treatment_of_department,头部
立氏立克次体斑疹热,Treatment_of_department,皮肤
立氏立克次体斑疹热,Treatment_of_department,全身
战壕热,Treatment_of_department,全身
女性阳虚,Treatment_of_department,全身
女性阳虚,Treatment_of_department,其他
走哺,Treatment_of_department,腹部
疫黄,Treatment_of_department,全身
肉痹,Treatment_of_department,肌肉
天柱倒,Treatment_of_department,全身
暑瘵,Treatment_of_department,胸部
六瘤,Treatment_of_department,全身
振栗,Treatment_of_department,全身
肢骨纹状肥大,Treatment_of_department,骨
肝性胸腔积液,Treatment_of_department,胸部
吐失,Treatment_of_department,全身
小儿发育性髋脱位,Treatment_of_department,关节
小儿发育性髋脱位,Treatment_of_department,盆骨
耻骨结核,Treatment_of_department,其他骨
咽后壁憩室,Treatment_of_department,咽喉
脐尿管囊肿及脐尿管瘘,Treatment_of_department,膀胱
α1-抗胰蛋白酶缺乏症,Treatment_of_department,肝
α1-抗胰蛋白酶缺乏症,Treatment_of_department,肺
腕关节结核,Treatment_of_department,上肢
腕关节结核,Treatment_of_department,关节
肠伤寒穿孔,Treatment_of_department,肠
小螺菌感染,Treatment_of_department,全身
二尖瓣和主动脉瓣的疾患,Treatment_of_department,心脏
瘴疟,Treatment_of_department,全身
鄂木斯克出血热,Treatment_of_department,血液血管
鄂木斯克出血热,Treatment_of_department,全身
脊椎外伤,Treatment_of_department,脊柱
荚膜组织胞浆菌病,Treatment_of_department,肺
骨包囊虫病,Treatment_of_department,骨
苏格兰脑炎,Treatment_of_department,颅脑
肾盏积水,Treatment_of_department,肾
西方马型脑炎,Treatment_of_department,颅脑
急性感染性心内膜炎,Treatment_of_department,心脏
椎弓结核,Treatment_of_department,脊柱
巨吻棘头虫病,Treatment_of_department,腹部
小儿埃可及柯萨奇病毒感染,Treatment_of_department,颅脑
小儿埃可及柯萨奇病毒感染,Treatment_of_department,心脏
小儿埃可及柯萨奇病毒感染,Treatment_of_department,全身
透明丝孢霉病,Treatment_of_department,皮肤
小儿其他沙门菌感染,Treatment_of_department,腹部
肋锁综合征,Treatment_of_department,胸部
肋锁综合征,Treatment_of_department,其他骨
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,血液血管
小儿肝炎再生障碍性贫血综合征,Treatment_of_department,肝
羌虫病,Treatment_of_department,皮肤
羌虫病,Treatment_of_department,淋巴
小儿丁型病毒性肝炎,Treatment_of_department,肝
异尖线吸虫蚴移行症,Treatment_of_department,全身
衣原体感染,Treatment_of_department,其他
小儿埃博拉病毒病,Treatment_of_department,免疫系统
小儿埃博拉病毒病,Treatment_of_department,血液血管
脱阳,Treatment_of_department,男性生殖
生殖道肿瘤,Treatment_of_department,女性生殖
生殖道肿瘤,Treatment_of_department,男性生殖
男科外伤,Treatment_of_department,男性生殖
睾丸女性化,Treatment_of_department,男性生殖
前列腺异位,Treatment_of_department,前列腺
嵌顿包茎,Treatment_of_department,阴茎
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,心理
中老年男子部分性雄激素缺乏综合征,Treatment_of_department,全身
性功能异常伴发的精神障碍,Treatment_of_department,男性生殖
性功能异常伴发的精神障碍,Treatment_of_department,女性生殖
性功能异常伴发的精神障碍,Treatment_of_department,心理
男性青春期发育延迟,Treatment_of_department,全身
