name,detail,info_match
钒,是正常生长可能必需的矿物质，钒有多种价态，有生物学意义的是四价和五价态。四价态钒为氧钒基阳离子，易与蛋白质结合结合形成复合物，而防止被氧化。钒酸盐以被、谷胱甘肽或NADH还原。其在人体健康方面的作用，营养学界，医学界至今仍不是很清楚，仍处在进一步发掘的过程中，但可以确定，钒有重要作用。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：无。  检查时要求：积极配合医生的工作安排。'}}"
脑脊液环磷鸟苷,环鸟苷酸是由细胞内鸟苷三磷酸(GTP)经鸟苷酸环化酶催化所产生。目前认为环鸟苷酸和环腺苷酸是相互拮抗的物质，在正常生理状态下，组织或血浆中的环腺苷酸和环鸟苷酸浓度的比值保持相对恒定，在分析中往往同时测定这两种物质的浓度，两者比例失调是某些疾病发病机制的一项客观指标。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：保持合理的饮食习惯，调整良好的作息时间。  检查时：消除焦虑紧张的情绪。  不适宜的人群：没有。'}}"
脑脊液环磷腺苷,环磷酸腺苷是体内一种具有广泛生物效应的物质，在脑组织和脑脊液中含量更高。因此当脑和脑膜疾患时，由于细胞代谢紊乱可导致脑脊液中cAMP含量的改变，检测cAMP可能较蛋白质、葡萄糖和细胞计数等指标更敏感。,"{'price': {'price': ''}, 'notice': {'notice': '检测前：停止服药，调整身体至最佳状态。  检查时：消除紧张焦虑的情绪，谨遵医师的指导。  不适宜人群：没有。'}}"
盆腔窃血试验,为在运动前测阴茎/臂血压指数后，让病人运动大腿及臀部肌肉数分钟后与运动前相比，看指数是否下降。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：暂时未明。  检查前禁忌：  1. 体检前几天，要注意饮食，不要吃过多油腻、不易消化的食物，不饮酒，不要吃对肝、肾功能有损害的药物。  2. 体检前一天要注意休息，情绪激动，保证充足睡眠，以免影响体检结果。最好能洗个澡。  3.如曾经动过手术，要带相关病历和有关资料。  4.体检当日早晨应禁食、禁水。  检查时要求：  1、检查时不要害羞和紧张，以免血流加速，影响检查结果。  2、检查时要平躺于检测仪上，检查时不要随便乱动。'}}"
精液乳酸脱氢酶-X,LDH-X是精子细胞的一种特异酶，存在初级精母细胞、精子细胞、精子以及精浆中，以精子含量最高，它是精子糖代谢所必需的酶，为精子在生殖道运动提供充足能源。显然，LDH-X与精子的生成、代谢、获能以至受精有密切关系。,"{'price': {'price': '￥30-￥80'}, 'notice': {'notice': '采集精液前：  必须停止性生活2～7天，并且不得有自慰、梦遗等情况，还应禁烟戒酒，忌服对生精功能有影响的药物等。 采集时：  采精时间以晨起为佳，采精前用温水将双手、阴部，尤其是龟头洗净。可采用自慰法或电动按摩射精法引起排精。  不适宜人群：没有'}}"
金伯克现象,金伯克现象(Kienbock's phenomenon)是“奇异运动”。膈肌反常收缩的现象，即一侧膈肌在吸气时上升，呼气时下降。在症的病人，由于患侧的膈肌松弛和等，致膈运动受限，甚或消失及矛盾运动。,"{'price': {'price': ''}, 'notice': {'notice': '1.检查前禁忌：休息不良，饮食不当，过度疲劳。  2.检查时要求：积极配合医生的工作。  不合宜人群：无。'}}"
泪道探术,泪道探通手术是检查泪道是否通畅，确定阻塞部位及起到扩张狭窄的泪道的作用。,"{'price': {'price': '￥26'}, 'notice': {'notice': '不合宜人群：这个没什么范围规定，眼睛没事就不必要检查。  检查前禁忌：所用手术一定要干净，忌乱用药。  检查时要求：根据不同病因进行对症治疗与处理，去除病因。'}}"
弗里德瑞希征,弗里德瑞希征(Friedreich's sign)是“弗里德瑞希音响变换”。在内有薄壁空洞时，深吸气叩诊呈现高调鼓音，呼气时则叩诊音调变低。,"{'price': {'price': ''}, 'notice': {'notice': '不合宜人群：无。  检查前禁忌：休息不良，饮食不当，过度疲劳。  检查时要求：  1.环境应安静，以免影响叩诊音的判断。  2.可取坐位或卧位;  3.叩诊时应用腕关节的运动。  4.板指要紧贴被检部位，其它手指稍微抬起，勿与体表接触。  5.叩诊指与板指方向垂直。  6.叩击力量均匀稳定。  7.叩诊时应注意对称部位的比较与鉴别。  8.叩诊时不仅要注意叩诊音响的变化，还要注意不同病灶的震动感差异，两者应相互配合。'}}"
刚果红皮内实验,是用于;慢性感染;;、淀粉样变的一种诊断。,"{'price': {'price': '￥30'}, 'notice': {'notice': '不合宜人群： 没有任何上述症状的人。  检查前禁忌：皮肤容易过敏的人小剂量皮试。  检查时要求：迟缓反应，通常于几小时至48小时后才出现反应，如为浸润性结节，即为阳性。'}}"
SST受体显像,SST受体显像是常用的显像剂为111In或99mTc标记的奥曲肽(octreotide)。肿瘤SST受体显像对许多神经内分泌及非神经内分泌肿瘤均有着较高的灵敏度，是目前胃泌素瘤、胰岛素瘤、胰高血糖素瘤等肿瘤术前定位的首选方法。SST受体显像不仅用于肿瘤的定位诊断、分期与预后评价，而且在肿瘤导向手术及奥曲肽治疗疗效评估中也具有重要价值。,"{'price': {'price': ''}, 'notice': {'notice': '1、检查前禁忌：检查当日请空腹到本科室。部分患者腹部检查时可能要求在显像前晚使用缓泻剂清肠。  2、检查时要求：示踪剂注射前10min及注射后，患者应处于休息状态，必要时使用镇静剂。示踪剂注射前要监测血糖。  不合宜人群：无特殊要求。'}}"
脑脊液康华氏反应,是由苍白螺旋体引起的一种性传播疾病，其实验室检查方法主要有梅毒螺旋体暗视野和血清学检查。临床康就是其中一种证实证验。,"{'price': {'price': ''}, 'notice': {'notice': '采集标本后，应立即送检，放置过久，将会影响检验结果。  检查前准备：  1.告知医生服药史。  2.家人的相关性病病史。  不适宜人群：没有不适宜人群。'}}"
虫卵计数法,虫卵计数法是一项用于检查寄生虫的辅助检查方法。虫卵计数用于估计人体内寄生虫的感染度，常用司徒尔(Stoll)氏法，即司氏稀释虫卵计数法。此相检查可以用于判断相应的病征。,"{'price': {'price': '￥3'}, 'notice': {'notice': '1、检查前禁忌： 检查前不要吃抗寄生虫的药物，以免影响结果。  2、检查时要求：粪便检查是诊断寄生虫病常用的病原学检测方法。要取得准确的结果，粪便必须新鲜，送检时间一般不宜超过24小时。如检查肠内原虫滋养体，最好立即检查，或暂时保存在35°C～37°C条件下待查。盛粪便的容器须洁净、干燥，并防止污染;粪便不可混入尿液及其它体液等，以免影响检查结果。  不合宜人群： 一般无不适合人群。'}}"
血清免疫球蛋白M,IgM占血清免疫球蛋白总量的6%，主要存在血管内，是机体受抗原刺激后最先产生的，起&ldquo;先锋免疫&rdquo;作用，具有很强的细胞毒活性和细胞溶解活性，由于IgM主要存在在血管内，是抗血管内感染的第一线抗体，对防止的发生有重要作用。  临床上，IgM常用ELISA测定。ELISA是酶联接免疫吸附剂测定( Enzyme-Linked Immunosorbnent Assay )的简称。它是继免疫荧光和放射免疫技术之后发展起来的一种免疫酶技术。  ELISA是以免疫学反应为基础，将抗原、抗体的特异性反应与酶对底物的高效催化作用相结合起来的一种敏感性很高的试验技术。由于抗原、抗体的反应在一种固相载体&mdash;&mdash;聚苯乙烯微量滴定板的孔中进行，每加入一种试剂孵育后，可通过洗涤除去多余的游离反应物，从而保证试验结果的特异性与稳定性。,"{'price': {'price': '￥6-￥16'}, 'notice': {'notice': '一、抽血前的注意事项  1.抽血前一天不吃过于油腻、高蛋白食物，避免大量饮酒。血液中的酒精成分会直接影响检验结果。  2.体检前一天的晚八时以后，应开始禁食12小时，以免影响检测结果。  3.抽血时应放松心情，避免因恐惧造成血管的收缩，增加采血的困难。  二、抽血后应注意  1.抽血后，需在针孔处进行局部按压3-5分钟，进行止血。注意：不要揉，以免造成皮下血肿。  2.按压时间应充分。各人的凝血时间有差异，有的人需要稍长的时间方可凝血。所以当皮肤表层看似未出血就马上停止压迫，可能会因未完全止血，而使血液渗至皮下造成青淤。因此按压时间长些，才能完全止血。如有出血倾向，更应延长按压时间。  3.抽血后出现晕针症状如：头晕、眼花、乏力等应立即平卧、饮少量糖水，待症状缓解后再进行体检。  4.若局部出现淤血，24小时后用温热毛巾湿敷，可促进吸收。  三、正常值因标准品制备而变化。'}}"
梅毒螺旋体抗原血清试验,梅毒螺旋体抗原血清试验是用活的或死的梅毒螺旋体或其成分来作抗原测定抗螺旋体抗体。这种试验敏感性和特异性均高，一般用作证实试验。这种试验是检测血清中抗梅毒螺旋体IgG抗体，即使患者经过足够治疗，仍能长期存在，甚至终身不消失，血清反应仍持续存在阳性，因此，不能用于观察疗效。,"{'price': {'price': '￥46-￥100'}, 'notice': {'notice': '1、检查前禁忌：注意正常的生活饮食习惯，注意个人卫生。禁止不洁性交。  2、检查时要求：积极配合医生。  不合宜人群：暂时不明。'}}"
肛门拭子检查法,肛门拭子检查法是一项用于检查寄生虫的辅助检查方法。此法是根据雌性蛲虫在人体肛门周围及会阴部皮肤产卵，带绦虫孕节从肛门排出或主动逸出过程中破裂、虫卵粘附于肛门周围皮肤上的特性而设计的。此相检查可以用于判断相应的病征。,"{'price': {'price': ''}, 'notice': {'notice': '1、检查前禁忌： 检查前不要吃抗寄生虫的药物，以免影响结果。  2、检查时要求：一般在清晨醒后或午睡后、便前、洗澡前进行检查，如首次检查阴性，可连续检查2～3天。  不合宜人群： 一般无不适合人群。'}}"
人体重心平衡仪,人体重心平衡仪，又称静态姿势图 Posturography ( PG ) 。它是近年来对前庭系统、视觉系统和本体感觉系统等病变引起的眩晕、平衡功能障碍的一种新的定性、定位检查方法，主要通过前庭-脊髓反射和脊髓-小脑反射检测人体平衡调节能力及前庭系统、小脑功能状态。具有检查时间短、方便、安全无创、无任何外加刺激及不适的特点。  若结合-，能更好了解前庭功能损伤程度，也了解中枢代偿情况，提高了确诊率，对眩晕患者的诊断、预后评估有重要价值。该设备集检测、治疗康复为一体，为临床各种眩晕类疾患和平衡障碍者提供了一全新的量化、智能化、简便的诊疗手段，也为相关学科的科研工作提供了一新的研究方法。,"{'price': {'price': '￥10-￥30'}, 'notice': {'notice': '不合宜人群：下肢残疾或本身有疾病的患者。  检查前禁忌：保持正常的饮食和作息时间。  检查时要求：检查时要防止因站立不稳而跌伤。'}}"
亲子鉴定,亲子鉴定就是利用法医学、生物学和遗传学的理论和技术，从子代和亲代的形态构造或生理机能方面的相似特点，分析遗传特征，判断父母与子女之间是否是亲生关系，是法医物证鉴定的主要组成部分。简单来说，就是通过血型或DNA测试等鉴定父母与子女之间的亲缘关系。,"{'price': {'price': ''}, 'notice': {'notice': ''}}"
脑脊液β2-微球蛋白,β2-M是由一个多肽链组成的蛋白质，分子量为118kD，由正常或恶性变的造血、间质或上皮细胞合成及分泌。β2-M在脑脊液中的出现及其浓度的增高，说明中枢有较严重的病理性损害。,"{'price': {'price': ''}, 'notice': {'notice': '加免疫分离剂时，必须充分摇匀后方可使用。'}}"
脑脊液强啡肽,是最近又发现另一种脑啡肽，其作用较吗啡强200倍，称为强啡肽，为13肽，其羧基端的5个个氨基酸的组成和亮-脑啡肽完全相同。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：受检查者应停止服用肾上腺素、异丙肾上腺素、哌替啶、烟碱、阿司匹林等药物，并保持合理的饮食和作息。  检查时：消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
不随意运动检查,不随意运动(involuntary movement) 是称。指病人不能随意控制的无目的的异常动作。不主要用于判断锥体外系是否病变。,"{'price': {'price': ''}, 'notice': {'notice': '检查前禁忌：情绪紧张、姿势、睡眠、转移注意力、安静休息、疲劳等对不自主运动有较大的影响影响，故检查前几天要休息好，不要过度劳累。  检查时要求：  1.检查时环境要安静。  2.情绪对检查结果影响很大，因此检查时家属要安抚好患者的情绪，以便检查顺利进行。'}}"
脑脊液亮氨酸-脑啡肽,广泛存在于中枢中，在前部、尾状核及苍白球处有较高的活性，在中枢神经系统中起神经递质或神经调节物作用，参与抑制传导，与体温调节、心血管调节、内分泌激素的释放均有关。脑啡肽包括蛋氨酸-脑啡肽与亮氨酸-脑啡肽。,"{'price': {'price': ''}, 'notice': {'notice': '检测前：受检查者应停止服用一切药物。  检查时：保持轻松的心态，消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
脑脊液神经肽,又称神经肽酪氨酸，由36个氨基酸残基组成的多肽，在脑组织中基底节(尾状核和豆状核壳部)含量最高，其次为边缘系统、杏仁核、海马、膈核、和感觉运动皮质的运动区，而在延髓的孤束、背核等处含量少。其生理功能是参与去甲的作用，和促性腺激素分泌有关，能刺激动物采食与增加采食量，具有较强韵缩血管作用，可增强血管对其他血管收缩物质的反应，同时可抑制血管对血管舒张物质的反应。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：受检查者应停止服用肾上腺素、异丙肾上腺素、哌替啶、烟碱、阿司匹林等药物，并保持合理的饮食和作息。  检查时：消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
脑脊液钠,正常脑脊液中钠含量依赖血浆水平波动，与血浆中的含量相近。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：受检测者应停止服用药物，并保持合理的饮食和作息。  检查时：应放松身体，消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
尿镁,成人体内含镁20～30g，约50%～70%分布骨骼中构成骨盐，其余以Mg2+形式分布于、、肝、肾、脑等各种软组织中。Mg2+主要存在于细胞内液，细胞外液仅占1%。红细胞中镁约为血浆中镁的3倍。约65%～80%以游离形式存在，其余与血浆蛋白结合存在。血镁对神经肌肉的应激性有协同的抑制作用。  镁普遍存在于各种食物中，成人每日需镁约20mmol/L(0.5g)。体内镁的主要排泄途径是。肾有较强的保镁能力，镁摄入不足时，肾脏排镁量可低于1mmol/24h。Mg：原子量22.990。,"{'price': {'price': '￥60'}, 'notice': {'notice': '检查前：禁止剧烈运动，保持良好的饮食和作息，检查前一周停用甘草、生胃酮、苯丙胺、两性霉素B、巴比妥等药物。检查前3天禁饮酒。  检查时：即先排出一部分尿弃去，以冲掉留在尿道口及前尿道的细菌，然后将中段尿留取送检。  不适宜人群：月经期中的女性，感冒患者。'}}"
血清载脂蛋白CII,载脂(Apo CII)是CM、VLDL和HDL的结构蛋白之一， 分别占其蛋白成份的14%、7%～10%及1%～3%。Apo CII在血浆中的浓度为0.03-0.05g/L。血清Apo-CII水平改变可能比异常更早、更敏感的反映脂质代谢异常状态.积极控制脂代谢紊乱对的防治具有重要作用。,"{'price': {'price': '￥34'}, 'notice': {'notice': '不合宜人群：在血脂正常的人群.  检查前禁忌：禁止服用某些药物(如避孕药、甲状腺激素、甾体激素等)可影响血脂水平。  检查时要求：近期应无急性疾病、损伤或外科手术史。'}}"
结核菌素皮内试验,是指抗链球菌素“O”试验，简称抗“O”，是机体产生的以链球菌溶血素O为抗原的。通过测定血清中的ASO抗体效价，来判断病人有无A族溶血性，可作为A族溶血性链球菌感染性疾病的辅助诊断方法之一。但本试验无特异性意义，因为A族链球菌感染后，可引起人类多种疾病，如链球菌感染引起相应的、、急性、亚急性细菌性、等均可引起ASO升高。人感染溶血性链球菌后，血清中可以出现多种抗体，如抗链激酶抗体、抗抗体和抗“O”溶血素抗体，而抗“O”溶血素抗体对检测风湿病是否活动的一种血清学诊断试验较有意义。风湿病活动期60%～80%的病人ASO是升高的，多次检测均正常有助于排除风湿病。,"{'price': {'price': '￥20-￥70'}, 'notice': {'notice': '检查前：必须稀释成适当浓度进行皮肤试验，以免引起全身反应或加重局部反应。  检查时：应放松身心，消除焦虑不安的情绪。  不适宜人群：有活动性结核病变者。'}}"
胶体铁染色,是指在pH 2.0条件下，细胞内游离的酸性基团对胶体铁有亲和力，再与酸性亚铁氰化钾作用，胞质内的酸性粘多糖所在部位可发生普鲁士蓝反应，被显示为蓝色。,"{'price': {'price': ''}, 'notice': {'notice': '由于各实验室的实验条件不同，参考值范围有差异，应以本实验室的参考值范围为准。'}}"
脑脊液囊虫病间接血球凝集试验,几乎所有的免疫学诊断法都试用于寄生虫的诊断。脑最常用的IHAT，具有高度的敏感性，操作方便等特点。,"{'price': {'price': ''}, 'notice': {'notice': '检查前：受检查者应停止服用一切药物，并保持合理的饮食和作息。  检查时：消除紧张焦虑的情绪。  不适宜人群：没有。'}}"
载脂蛋白E基因分型,载脂蛋白E(ApoE)是一种富含的碱性蛋白质，ApoE在脂类代谢中起着重要的作用。载脂蛋白(Apo)E基因常见的等位基因型分为三种ε2、ε3、ε4，ApoE基因型的检测可以作为临床辅助诊断和风险率估计的指标。,"{'price': {'price': '￥6-￥120'}, 'notice': {'notice': '不合宜人群：在血脂正常的人群。  检查前禁忌：保持情绪稳定，切忌急躁、激动或闷闷不乐。  检查时要求：谨遵医嘱，配合医生。'}}"
