name,detail,info_match
无痛保宫人流术,无痛保宫术是在德国进口内窥镜下，采用进口纳米微管技术，准确吸取孕囊，有效预防、残留及大量出血等并发症，无痛苦，安全快捷，对女性的伤害微乎其微，不影响生育、工作和生活，是目前国际社会普遍认可的最能保护女性子宫健康的“微创”人流技术。,{'price': {'price': ''}}
腹腔镜下输卵管疏通术,术主要治疗因输卵管或盆腔症所致的输卵管狭窄或者堵塞造成的女性症。,{'price': {'price': ''}}
阴茎入珠术,所谓入珠，简单的说，就是将珠子植入男性阴茎皮下组织，待其伤口愈合，勃起时，凸出于阴茎表面。早期兄弟又称为“入龙珠”其含意是指“在监”时植入者。以往入珠者，大都是道上兄弟，行船人，午夜牛郎，现在层次己较以往普及，打从上班族，生意人，至挺而不坚，对房事未能持久者，力不从心都是“入珠文化”的新客源。入珠又可分“活珠”和”死珠”在此要详加说明，何谓”活珠”是指植入后，珠子能够在皮下组织有一定的活动跑道，供其移动者，在男女性欢愉时，珠子就像钟摆般在阴茎内拨动，间接摩擦阴道壁，一阵又一阵的刺激。  入珠有别于一般的情趣用品所带来的不确定性因所有情趣用品皆戴在阳具表面，再恩爱的过程中有时会掉在阴道里面而拿不出来，得送医院请求医师帮忙处理浪费金钱又败性而回，然而入珠则不同，它是植入我们阳具皮下，等伤口好了之后才能进行性爱，所以性爱的时候您可以大小力随意坐，也可以非常尽情狂野的做让您的另一半更快高潮更幸福。,{'price': {'price': ''}}
牙间结扎固定术,1.新鲜单纯下颌体部，轻度移位，全口列完整者。  2.因、口底或根损伤，伴有下者，可做牙间暂时性固定。,{'price': {'price': ''}}
显微角膜板层切除术,-2.00～-32.00d的近视，尤其是-15.00以上者。需符合以下条件：  1.年龄≥20周岁(特殊情况放宽至18周岁)。  2.屈光状态稳定2年以上。  3.rk术后近视欠矫在rk术2年后。  4.矫正有一定提高。,{'price': {'price': ''}}
内视镜功能鼻窦手术,使用内窥镜和特殊手术器械进行外科手术是在1970年代初期由奥地利鼻科学者Messerklinger开创的，因此又被称为Messerklinger技术(Messerklinger Technique，MT)。,{'price': {'price': ''}}
额窦脓肿引流术,或急性发作，用非手术疗法不能控制，引流不畅，形成窦内积脓。,{'price': {'price': ''}}
外伤性麻痹性斜视手术,头部或部各种机械性外伤均可直接或间接地伤及眼外肌及其支配的神经，引起肌肉断裂或，临床上表现为外伤性麻痹性斜性斜性（traumutic paralytic strabismus）。根据不同情况进行早期探查术或晚期矫正术。,{'price': {'price': '￥820-￥1250'}}
泪小管鼻腔吻合术,泪囊已摘除或已，病人要求解除状，但泪小管通畅部仍有10mm以上者。可直接将泪小管与相对粘膜吻合。,{'price': {'price': '￥880'}}
泪囊切开鼻泪管环切术,适用于，慢性。,{'price': {'price': ''}}
泪点探查及扩张术,因状，需作泪道诊断性检查者，或因泪道狭窄，需作泪道扩张、插管等手术治疗者。,{'price': {'price': ''}}
眦角移位回转矫正术,适合远内眦畸形，内眦角明显向颞下方移位者。,{'price': {'price': '￥1000'}}
负人工晶状前房植入术,1.近视屈光度>-9.00D，且已稳定2年无发展。  2.由于职业需要不能配戴或不愿配戴镜和隐形眼镜者。  3.高度数者。  4.排除其他眼部及全身疾病，如，及等。,{'price': {'price': '￥1600'}}
鼻肿瘤切除及植皮术,肿瘤切除后鼻外部存在缺损，需要进行植皮手术。,{'price': {'price': ''}}
鼻与颚囊肿切除术,当与颚有发生时，可能阻碍呼吸，应予以手术切除。,{'price': {'price': ''}}
双侧唇裂修复术,俗称“”，指上唇有裂开者，是先天畸形的一种。唇裂是颌面部最常见的先天性畸形，常与伴发。正常的胎儿，在第五周以后开始由一些胚胎突起逐渐互相融合形成面部，如未能正常发育便可发生畸形，其中包括唇裂。根据以前的调查，新生儿的患病率大约为1：1 000，但各地的资料并不完全一样。根据我国出生缺陷检测中心1996～2000年所获得的结果显示，在全国31个省市的2 218 616多万围产儿中，检出唇裂患者2 265例，其患病率为1.625：1 000。上述资料表明，我国唇腭裂的患病率有上升趋势，与近期国外的报道相近似。据统计，唇腭裂患者男女性别之比为1.5：1，男性多于女性。,{'price': {'price': '￥890'}}
泪腺分泌神经切断术,支配分泌的神经为来自面神经的副交感纤维，经上颌神经的泪腺支进入泪腺。手术的目的在于切断该神经。,{'price': {'price': ''}}
前房角切开术,1.透明的婴幼儿先天性。  2.伴有病、lowe综合征、。axenfeld综合征、小梁发育不全的。  3.继发于母亲怀孕时患过、先天性手术后和慢性前部的儿童青光。,{'price': {'price': '￥200-￥1200'}}
角膜异物取出术,时，球内常有异物存留。进入眼球内的异物可以是金属或非金属。金属异物中，又可分为磁性或非磁性二种。因此，当眼球发生穿通伤时，首先要查明眼内是否有异物存留，异物的性质和位置等。要待情况查明之后，才能拟定手术方案。,{'price': {'price': '￥12-￥38'}}
鼻成形术,外部缺损或损伤部分较大，需要用带蒂皮瓣移植。手术常常要分数期完成，需时较长。,{'price': {'price': '￥50-￥1500'}}
中鼻甲部分切除术,中甲肥大(粘膜或骨质)或样变影响呼吸、嗅觉及引流者。,{'price': {'price': '￥80-￥400'}}
上颌骨次全截除术,肿瘤仅限于上颌窦前壁、下壁和内侧壁下部，未侵犯筛窦、蝶窦或底者，部分上颌骨截除不能根治肿瘤者，可作。,{'price': {'price': '￥1200-￥2300'}}
悬壅颚咽成形术,阻塞性低通气综合征(OSAHS)可诱发多种疾病，(UPPP)是目前最常见的有效的手术治疗方法,{'price': {'price': '￥800'}}
小梁切开术,先天性，特别是浑浊无法看清前房角结构者，或2~3次后仍不能控制者。,{'price': {'price': '￥700-￥1510'}}
儿童眼病的玻璃体手术,特点  ⑴外伤性玻璃体及内炎居多。  ⑵先天性玻璃体视网膜病变处理困难多。  ⑶眼球正在发育阶段。  ⑷玻璃体手术失败后极易发生眼球。  ⑸儿童，玻璃体及新生血管增殖迅速。  ⑹术后配合差，控制及护理困难。,{'price': {'price': '￥330-￥1060'}}
泪道探通及扩张术,检查泪道是否通畅，确定阻塞部位及扩张狭窄的泪道。,{'price': {'price': '￥15-￥30'}}
肌腱延长术,本术式是用于直肌的一种减弱术，在肌腱或肌肉的两侧缘或同央作部分切开，利用肌肉自身的张力产生收缩，将切口拉开，使肌肉延长。肌肉延长的程度与切口的长度和数目有关。  Helveston(1977)曾在离体兔上作试验，研究各种不同的边缘切开术可产生的肌腱-肌肉延长量。他发现作双侧80%的部分重叠的边缘切开术(图1，C、D)，可以使肌肉明显延长;不完全，不重叠的多数边缘切开术(图1，E、F)，基本不引起肌肉延长;一个中央的肌腱切开(图1，A)也不延长肌肉;两个不完全的边缘切并80%的中央肌腱切开术(图1，B)可产生中度延长。,{'price': {'price': '￥1600'}}
直肌移位术,当一条外肌的收缩力完全丧失时，一般的加强术，例如截除、前徙或折叠术都不能恢复该肌肉的转动力。hummelshein(1970)设计了一种手术方法，将上、下直肌的部分功能转移到外直肌，治疗第ⅳ颅神经麻醉。此后又有许多改良方法，但基本原理不变，即在第ⅳ颅神经时，将上下直肌的部分功能转到外直肌;在第ⅳ颅神经部分麻痹波及内直肌时，将部分上下直肌(功能正常者)转移到内直肌。同样地在双上转肌或双下转肌麻痹时，则作水平肌移位。强调的一点是，在一根或多根时可能同时存在机械性牵引，这种牵引必须在术前用牵拉试验证实，并在手术后解除，否则肌肉移位术不能改善眼球运动。,{'price': {'price': '￥480-￥1470'}}
声带内Teflon注射,又称声带内特氟隆注射术。,{'price': {'price': '￥264-￥1200'}}
虹膜嵌顿术,由于怀疑其术后可能发生，现已很少应用。,{'price': {'price': '￥160'}}
单纯泪小管断裂缝合术,内眦部外伤所致的泪小管断裂，可行泪小管缝合术进行修复。但新鲜的断裂和陈旧的断裂修复缝合方法不同。,{'price': {'price': ''}}
泪囊鼻腔造瘘术,腔手术的一种，帮助纠正长期溢泪的情况。,{'price': {'price': '￥3-￥480'}}
经上颌窦颌内动脉结扎术,严重的后部性出血，出血点在中鼻甲游离缘水平之下，经前后鼻孔填塞、颈外动脉等方法及未能控制出血时，可考虑结扎颌内动脉主要分支。,{'price': {'price': '￥600-￥900'}}
牙齿再植术,适用于外伤导致的，本身条件良好者。多发生在前牙，可为单个或多个牙位。,{'price': {'price': '￥100'}}
羟基磷灰石球植入术,球摘出后当时，或眼球摘出后眼窝凹陷二期肌锥腔内硅胶球植入。,{'price': {'price': '￥80'}}
结膜囊肿和皮样脂肪瘤切除术,各种结膜良性肿物，主要包括结膜、皮样瘤和皮样。,{'price': {'price': ''}}
额肌悬吊术,适用于上睑提肌功能较差(上睑提肌的肌力小于4mm)，额肌功能完备的患者。,{'price': {'price': '￥1160'}}
扁桃体切除术,切除术适用于扁桃体炎反复急性发作，扁桃体过度肥大，扁桃体良性肿瘤等症，方法分为剥离法、挤切法。手术后会有出血、等并发症。,{'price': {'price': '￥400'}}
人工角膜移植手术,人工，指的是人工角膜内皮就是利用人工方法，体外培育出的可用于移植的角膜内皮细胞层。由中国海洋大学角膜组织工程实验室研制的组织工程人角膜内皮（简称人工角膜内皮）成功完成兔、猫和猴的角膜移植实验，这在国际上尚属首次，表明角膜中的重要部分之一——角膜内皮已经可以人工“制造”，有望2010年底或2011年初进入临床实验。这一研究成果将有效缓解医用眼角膜紧缺的现实。,{'price': {'price': '￥1800-￥4060'}}
阻生牙拔除术,阻生是指由于邻牙、骨或软组织的障碍而只能部分萌出或完全不能萌出，且以后也不能萌出的牙。引起牙阻生的成因，主要原因是随着人类的进化，颌骨的退化与牙量的退化不一致，导致骨量相对小于牙量，颌骨缺乏足够的空间容纳全部恒牙。常见的阻生牙为上下颌第三及上颌尖牙，也就是我们俗称的“智牙”和上颌“虎牙”。临床上，下颌智齿在阻生牙中最为常见。,{'price': {'price': '￥80'}}
视网膜裂孔冷凝术,冷凝术的适应症是手术中封闭裂孔；小或屈光间质混浊使用光凝困难时；远周边部视网膜裂孔或区的治疗可用冷凝术cryocoagulation。,{'price': {'price': '￥2200'}}
筛动脉结扎术,1.中甲游离缘以上部位严重出血(多发生于头面部外伤后)，经填塞或其他止血措施失败者。但先应尽可能排除因颅内颈内破裂引起的。  2.行鼻外途径筛窦手术(刮筛、肿瘤切除、异物取出等)时，先作筛可减少术中出血。,{'price': {'price': '￥500-￥800'}}
前路泪腺摘除术,体积不大的慢性或肿瘤。,{'price': {'price': '￥900'}}
前鼻孔闭锁成形术,前一般只涉及前孔，闭锁处比较浅薄，没有很多的皮肤缺损，手术时无需植皮。,{'price': {'price': '￥400-￥1300'}}
单侧唇裂瓣修复术,俗称“”，指上唇有裂开者，是先天畸形的一种。唇裂是颌面部最常见的先天性畸形，常与伴发。正常的胎儿，在第五周以后开始由一些胚胎突起逐渐互相融合形成面部，如未能正常发育便可发生畸形，其中包括唇裂。根据以前的调查，新生儿的患病率大约为1：1 000，但各地的资料并不完全一样。根据我国出生缺陷检测中心1996～2000年所获得的结果显示，在全国31个省市的2 218 616多万围产儿中，检出唇裂患者2 265例，其患病率为1.625：1 000。上述资料表明，我国唇腭裂的患病率有上升趋势，与近期国外的报道相近似。据统计，唇腭裂患者男女性别之比为1.5：1，男性多于女性。,{'price': {'price': '￥890'}}
鼻中隔偏曲手术,系由于中隔在发育过程中受某些因素影响所致的结构上的畸形，形态上向一侧或两侧偏斜，或局部突起，可影响鼻腔生理功能，并引起一系列病理变化。  鼻中隔粘膜下切除术  鼻中隔成形术,{'price': {'price': '￥800'}}
翼管神经切除术,的机制在于切除鼻部的副交感神经，从而使鼻腔、鼻窦的血管处于收缩状态，同时鼻分泌物及泪腺分泌大为减少。切除翼管神经以后鼻粘膜上皮细胞固有层水肿减轻，上皮也恢复假复层状态，嗜酸粒细胞消失，肥大细胞脱颗粒减少。因此释放出的组胺、肝素和5-羟色胺等介质也减少，术后变态反应激惹试验可呈阴性。这些结果都是用于治疗过敏性鼻炎、血管舒缩性鼻炎和鼻息肉的理论根据。  由于翼管位置很深，处于蝶骨翼突的根部蝶窦的外下方(图1)，上颌窦后壁内侧，相当于鼻腔外侧壁的后面并与此平行，翼管神经外孔呈漏斗状。因此，临床上要作翼管神经切除手术，操作很复杂，方法很多，且各有其优缺点。,{'price': {'price': '￥300-￥600'}}
周边虹膜切除术,目前周边基本上被激光切除术代替。但在下列情况下仍然适用：  1.不能看清虹膜时，如。  2.患者因全身原因不能坐于之前或不合作时。  3.持续或反复发作的炎症引起的激光虹膜切除孔多次堵塞者。  4.缺少激光设备时。,{'price': {'price': '￥1030'}}
眼前节重建术,1.感染性累及全或部分巩膜难以进行常规角膜移植者。  2.全角膜粘连性白斑，陈旧性外伤累及者。  3.全。,{'price': {'price': '￥800-￥1090'}}
视网膜裂孔光凝术,无的和视网膜离手术中已垫压、周围无视网膜下液的视网膜裂孔可用光凝(photocoagulation)封孔。,{'price': {'price': '￥800-￥890'}}
经上颌窦筛窦切除术,筛骨迷路由多个小气房组成，变异较大，且位于各窦的中心，与眶、颅前窝仅隔一薄骨板，紧密相邻，它体积不大而位置较深，故施行筛窦手术，若不谙解剖，盲目粗鲁，则有相当的困难和危险性;但另一方面，由于慢性化脓性筛窦炎是一种常见、多发病，筛窦病变不彻底清除，常常成为妨碍其他症治愈及造成屡发的重要因素之一，因此筛窦开放或切除手术又有其必要性，是鼻科临床医师应该掌握的手术，如果做到认真、谨慎小心、记住要领、随机应变，则也能达到熟能生巧、得心应手。筛窦切除手术的途径有鼻内、鼻外及经上颌窦三种，就是其中一种。,{'price': {'price': '￥1380'}}
虹膜切开术,特别适合于有的病例。,{'price': {'price': '￥450-￥660'}}
白内障手术,白内障是常见的致盲性眼病。人眼中有一个组织叫做晶状体，正常情况下它是透明的，光线通过它及一些屈光间质到达视网膜，才能清晰地看到外界物体。一旦晶状体由于某些原因发生混浊就会影响视网膜成像，使人看不清东西。也就是说，晶状体混浊导致视力下降就是白内障。建议在发现或者已经诊断患有白内障时要及时的治疗，同时注意避免长期过度用眼。,{'price': {'price': '￥300-￥3650'}}
一般鼻甲粘膜切除术,是治疗甲粘膜最常用的方法。,{'price': {'price': '￥70-￥2300'}}
眼睑后层缺损修复术,睑后层的缺损指睑板与睑结膜的缺损。眼睑后层组织缺损于修补前需要整修外形，便于修补。,{'price': {'price': '￥1648-￥2060'}}
