illness_name,Treatment_of_department,Department_name
性兴奋障碍,Treatment_of_department,心理咨询
性兴奋障碍,Treatment_of_department,生殖健康
性兴奋障碍,Treatment_of_department,精神心理科
附睾结核,Treatment_of_department,泌尿外科
附睾结核,Treatment_of_department,男科
甲型副伤寒,Treatment_of_department,传染科
布-加综合征,Treatment_of_department,肝炎
泌尿生殖系放线菌病,Treatment_of_department,男科
泌尿生殖系放线菌病,Treatment_of_department,妇产科
泌尿生殖系放线菌病,Treatment_of_department,传染科
夸赛纳森林病,Treatment_of_department,传染科
科罗拉多蜱热,Treatment_of_department,传染科
肺芽生菌病,Treatment_of_department,呼吸内科
肺芽生菌病,Treatment_of_department,传染科
乙胺嘧啶中毒,Treatment_of_department,消化内科
乙胺嘧啶中毒,Treatment_of_department,急诊科
西伯利亚立克次体斑疹热,Treatment_of_department,消化内科
西伯利亚立克次体斑疹热,Treatment_of_department,传染科
西伯利亚立克次体斑疹热,Treatment_of_department,急诊科
自身免疫性肝病,Treatment_of_department,肝炎
前列腺钙灶化灶,Treatment_of_department,泌尿外科
前列腺钙灶化灶,Treatment_of_department,男科
加利福尼亚脑炎,Treatment_of_department,神经内科
加利福尼亚脑炎,Treatment_of_department,传染科
小儿利斯特菌病,Treatment_of_department,神经内科
小儿利斯特菌病,Treatment_of_department,儿科
小儿利斯特菌病,Treatment_of_department,急诊科
弗郎西丝菌肺炎,Treatment_of_department,呼吸内科
弗郎西丝菌肺炎,Treatment_of_department,传染科
阴茎癌,Treatment_of_department,肿瘤科
阴茎癌,Treatment_of_department,男科
阴茎癌,Treatment_of_department,生殖健康
左精索静脉曲张,Treatment_of_department,男科
生殖器念珠菌病,Treatment_of_department,性病科
生殖器念珠菌病,Treatment_of_department,生殖健康
卵巢早衰,Treatment_of_department,生殖健康
卵巢早衰,Treatment_of_department,妇科
蝎螫伤,Treatment_of_department,急诊科
蝎螫伤,Treatment_of_department,血液科
五氯酚钠中毒,Treatment_of_department,消化内科
五氯酚钠中毒,Treatment_of_department,急诊科
毛圆线虫病,Treatment_of_department,消化内科
毛圆线虫病,Treatment_of_department,血液科
毛圆线虫病,Treatment_of_department,传染科
小儿亚硝酸盐中毒,Treatment_of_department,消化内科
小儿亚硝酸盐中毒,Treatment_of_department,儿科
小儿亚硝酸盐中毒,Treatment_of_department,急诊科
非01霍乱弧菌肠炎,Treatment_of_department,消化内科
非01霍乱弧菌肠炎,Treatment_of_department,传染科
非01霍乱弧菌肠炎,Treatment_of_department,急诊科
小儿脾外伤,Treatment_of_department,外科
小儿脾外伤,Treatment_of_department,急诊科
小儿脾外伤,Treatment_of_department,普外科
利斯特菌脑膜炎,Treatment_of_department,神经内科
